PUBYEAR,ARTICLE_TYPE,TOTAL_NUMBER_OF_ITEMS,NUMBER_OF_NULLS,NUMBER_OF_DOIS
1989,discussion,2343,2328,15
1984,discussion,2714,2704,10
1957,book review,44,44,0
1952,review,363,356,7
1998,book review,87423,87407,16
1985,meeting abstract,123575,123575,0
2003,news item,24064,23038,1026
1984,biographical-item,63,61,2
2010,poetry,4759,4683,76
1991,discussion,2186,2162,24
2016,retraction,730,82,648
1950,note,201,201,0
1956,editorial material,631,619,12
1951,discussion,11,10,1
1952,letter,379,379,0
1957,editorial material,758,744,14
1991,software review,737,737,0
1962,biographical-item,316,314,2
2004,biographical-item,5701,4523,1178
2012,software review,57,13,44
1952,biographical-item,30,29,1
1934,review,63,60,3
1943,letter,12,12,0
1913,article,630,630,0
1922,article,691,691,0
1902,article,294,294,0
1904,article,278,278,0
1926,review,46,46,0
1913,review,22,22,0
1918,review,10,10,0
1914,review,20,20,0
1928,letter,9,9,0
1919,letter,8,8,0
1911,review,17,17,0
2019,correction,5973,508,5465
1987,poetry,7647,7647,0
1982,music performance review,1771,1771,0
1986,film review,1637,1637,0
1952,correction,83,83,0
1991,chronology,45,45,0
1983,poetry,8329,8329,0
1991,theater review,720,720,0
1980,art exhibit review,2679,2679,0
1989,dance performance review,486,486,0
1981,biographical-item,22,21,1
1983,theater review,1755,1755,0
1982,dance performance review,549,549,0
2012,film review,1381,1373,8
1995,bibliography,650,650,0
1991,music performance review,1975,1975,0
1996,record review,2405,2405,0
1998,biographical-item,6049,6045,4
1986,music score review,613,613,0
1997,art exhibit review,2403,2403,0
1990,proceedings paper,124196,124194,2
1923,book review,12,12,0
1903,letter,82,82,0
1998,poetry,6257,6257,0
1912,book review,8,8,0
1938,book review,337,337,0
1922,book review,17,17,0
1910,book review,10,10,0
1948,book review,31,31,0
1901,book review,1,1,0
2002,poetry,5655,5655,0
2008,"fiction, creative prose",647,625,22
1990,item about an individual,3826,3826,0
2008,art exhibit review,2923,2921,2
1990,excerpt,270,270,0
2002,dance performance review,779,779,0
2008,dance performance review,502,502,0
2002,database review,84,83,1
2008,"tv review, radio review",205,201,4
1990,database review,28,28,0
1990,reprint,14,14,0
2002,music score,10,10,0
2005,"fiction, creative prose",691,672,19
2005,theater review,689,687,2
2011,record review,1929,1920,9
1997,item about an individual,4729,4729,0
1997,music score review,386,386,0
2011,dance performance review,411,411,0
1997,database review,86,86,0
2005,script,29,27,2
2012,record review,1850,1835,15
1976,"fiction, creative prose",1,1,0
2007,art exhibit review,2775,2768,7
2009,dance performance review,478,478,0
1985,"fiction, creative prose",1561,1561,0
1995,"fiction, creative prose",1332,1332,0
1992,poetry,5902,5902,0
1995,software review,1031,1026,5
1983,music performance review,1849,1849,0
1980,"fiction, creative prose",1457,1457,0
1986,excerpt,266,266,0
1993,art exhibit review,2449,2449,0
1951,biographical-item,46,46,0
2010,film review,1754,1739,15
1993,"fiction, creative prose",1146,1146,0
1994,music score review,335,335,0
1900,review,4,4,0
1961,biographical-item,3,3,0
1991,proceedings paper,143150,143150,0
1999,excerpt,219,219,0
1977,film review,1,1,0
2012,theater review,367,346,21
2016,main cite,6,5,1
1988,"correction, addition",4394,4394,0
1989,"correction, addition",4619,4619,0
1983,"correction, addition",4930,4930,0
1981,"correction, addition",3403,3403,0
1987,item about an individual,3728,3728,0
1995,"correction, addition",6477,6477,0
1946,biographical-item,7,7,0
1998,"tv review, radio review",371,371,0
2003,"tv review, radio review",486,486,0
1976,art exhibit review,34,34,0
1992,dance performance review,608,608,0
2003,music score review,324,324,0
2003,dance performance review,613,613,0
2003,music score,11,11,0
2009,excerpt,87,76,11
2009,meeting summary,3,3,0
1993,"tv review, radio review, video",300,300,0
2009,hardware review,5,5,0
2010,script,31,28,3
1999,hardware review,29,29,0
2012,database review,10,9,1
2000,music score review,733,733,0
1985,proceedings paper,66,66,0
1988,excerpt,184,184,0
2001,music score review,568,568,0
2001,"tv review, radio review",600,600,0
2001,chronology,1,0,1
1989,record review,1253,1253,0
2014,database review,1,1,0
1998,dance performance review,390,390,0
2006,music score review,626,592,34
2006,music performance review,1005,1001,4
1982,script,143,143,0
1983,"tv review, radio review",1,1,0
1999,script,75,75,0
1984,software review,122,122,0
1987,script,114,114,0
2013,hardware review,1,1,0
1984,database review,5,5,0
2001,discussion,1,1,0
2019,discussion,1,0,1
2003,article,848765,432475,416290
2013,article,1403675,156260,1247415
2002,review,36400,28142,8258
2016,meeting abstract,332037,284931,47106
1994,article,637616,636101,1515
2013,proceedings paper,314752,197756,116996
1995,note,64267,64171,96
1999,article,783805,782026,1779
2009,book review,76764,62685,14079
1991,editorial material,34780,34657,123
2005,letter,40587,26132,14455
2011,letter,43605,14145,29460
2005,review,46223,17486,28737
2014,correction,15521,2738,12783
2009,review,69736,13895,55841
2009,editorial material,91413,41014,50399
2013,meeting abstract,299984,277034,22950
1981,note,49515,49382,133
2010,editorial material,93664,39043,54621
1998,review,27817,27747,70
1977,meeting abstract,362,362,0
1975,note,1402,1299,103
1978,article,25548,25156,392
2013,biographical-item,4199,1865,2334
2002,meeting abstract,152672,152604,68
1992,editorial material,34870,34753,117
1987,meeting abstract,136061,136061,0
2008,review,62686,15774,46912
1972,review,1324,1308,16
2016,dance performance review,463,458,5
1985,correction,559,543,16
1995,proceedings paper,130457,130443,14
1998,letter,45009,44652,357
2013,letter,44478,12315,32163
2006,news item,26258,24202,2056
1999,editorial material,56193,56026,167
1996,editorial material,58198,58048,150
1970,editorial material,1700,1666,34
1999,book review,84487,84474,13
2013,poetry,4541,4293,248
1994,review,19634,19581,53
2006,correction,10638,5024,5614
2015,"fiction, creative prose",619,586,33
1996,correction,433,418,15
1976,letter,944,716,228
1975,meeting abstract,563,563,0
1992,meeting abstract,61819,61819,0
1978,note,2031,1887,144
1970,note,5303,5253,50
1977,editorial material,881,842,39
1982,letter,35092,34882,210
1963,letter,742,742,0
1971,letter,2723,2574,149
1962,review,206,206,0
1968,note,5128,5086,42
1974,discussion,125,120,5
1966,note,3894,3879,15
1962,meeting abstract,407,298,109
1967,note,4338,4298,40
1963,editorial material,649,630,19
1964,meeting abstract,1032,789,243
2001,meeting abstract,124579,124578,1
1962,editorial material,460,437,23
2001,book review,78906,78768,138
1969,correction,296,294,2
1966,abstract of published item,84,82,2
1980,book review,73541,73541,0
1971,biographical-item,14,13,1
2018,letter,44411,8336,36075
2018,theater review,344,301,43
1942,article,1528,1361,167
2017,poetry,4643,4311,332
2018,film review,1185,1150,35
2018,music performance review,929,893,36
2018,excerpt,17,17,0
1952,meeting abstract,254,254,0
1979,discussion,144,133,11
1987,news item,1,1,0
2008,reprint,714,447,267
1958,note,194,165,29
2001,news item,27117,27056,61
1949,note,193,193,0
1996,note,306,304,2
1993,reprint,713,713,0
1936,article,1678,1532,146
1993,book review,84025,84016,9
1956,discussion,13,13,0
1950,meeting abstract,117,117,0
1960,meeting abstract,40,40,0
1954,letter,448,448,0
1949,editorial material,889,874,15
1952,discussion,32,32,0
1986,biographical-item,150,150,0
1948,editorial material,959,946,13
1955,discussion,13,12,1
2004,reprint,698,507,191
1941,review,110,104,6
2002,biographical-item,5619,5154,465
2010,retraction,2,0,2
2013,retraction,4,0,4
1928,article,1249,1161,88
2019,letter,12922,2267,10655
1947,book review,18,18,0
2019,editorial material,31274,6423,24851
1921,article,665,665,0
1999,news item,29463,29458,5
1909,article,425,425,0
1908,review,10,10,0
1901,article,232,232,0
1921,review,33,33,0
1944,letter,17,17,0
2005,software review,199,165,34
1998,software review,934,931,3
1986,music performance review,2136,2136,0
1978,poetry,69,69,0
1993,poetry,5512,5512,0
1995,art exhibit review,2587,2587,0
1991,art exhibit review,3093,3093,0
2010,bibliography,217,154,63
1985,music score review,643,643,0
1997,"fiction, creative prose",1461,1461,0
2011,art exhibit review,2261,2222,39
1996,"tv review, radio review",9,9,0
2007,bibliography,269,189,80
1997,hardware review,71,71,0
1947,correction,8,8,0
2004,hardware review,21,20,1
2003,poetry,5363,5363,0
1904,book review,5,5,0
2019,meeting abstract,36206,33112,3094
1926,book review,13,13,0
2000,poetry,6603,6601,2
1922,letter,8,8,0
1935,book review,144,144,0
1955,book review,202,202,0
1928,book review,215,215,0
1915,book review,4,4,0
1990,"correction, addition",4793,4793,0
2002,film review,1722,1722,0
2002,music score review,613,613,0
2008,bibliography,279,210,69
2014,music score review,50,49,1
2008,main cite,8,8,0
2005,art exhibit review,2541,2535,6
1996,script,63,63,0
2005,poetry,5094,5080,14
1996,theater review,602,602,0
2005,database review,21,14,7
2005,bibliography,275,210,65
1997,film review,1862,1862,0
2011,music performance review,1174,1170,4
2011,music score review,72,72,0
2011,script,20,20,0
2012,music performance review,942,940,2
1984,art exhibit review,2844,2844,0
2000,script,70,70,0
2003,theater review,644,644,0
2000,excerpt,217,217,0
1992,software review,718,718,0
1991,poetry,5606,5606,0
1994,script,64,64,0
1979,"fiction, creative prose",1,1,0
1987,"fiction, creative prose",1511,1511,0
1980,music score,68,68,0
1993,script,63,63,0
1981,chronology,61,61,0
1991,record review,1426,1426,0
2012,bibliography,111,80,31
1990,news item,3,0,3
2015,music score review,39,36,3
1985,"correction, addition",4746,4746,0
1993,item about an individual,4835,4835,0
1984,"correction, addition",5019,5019,0
1986,"correction, addition",4605,4605,0
1987,"correction, addition",4372,4372,0
2011,book,223,140,83
2013,book,489,257,232
2005,book,51,20,31
2013,music score review,71,65,6
2003,music performance review,1375,1375,0
1978,art exhibit review,3,3,0
1976,biographical-item,6,5,1
1987,"tv review, radio review",4,4,0
1988,database review,84,84,0
1978,chronology,1,1,0
2010,"tv review, radio review",350,342,8
1991,"fiction, creative prose",1242,1242,0
1991,script,78,78,0
1992,music score,20,20,0
2009,"tv review, radio review",200,200,0
2015,music score,18,18,0
1993,theater review,601,601,0
2015,meeting summary,6,3,3
2004,music score review,62,62,0
2010,excerpt,51,47,4
2011,chronology,3,0,3
1985,music score,100,100,0
1985,"tv review, radio review, video",89,89,0
1986,hardware review,129,129,0
1986,chronology,50,50,0
2001,film review,1693,1693,0
1989,music score review,470,470,0
1980,"tv review, radio review, video",82,82,0
1980,script,166,166,0
2006,"tv review, radio review",680,676,4
2012,music score,5,5,0
2006,hardware review,12,11,1
1982,chronology,74,74,0
1983,dance performance review,785,785,0
1983,chronology,90,90,0
1984,hardware review,25,25,0
1984,script,123,123,0
2013,excerpt,2,2,0
1987,music score,44,44,0
1998,discussion,1,1,0
2011,hardware review,3,2,1
2019,film review,335,326,9
2016,letter,46151,11049,35102
1991,article,596834,595512,1322
2016,biographical-item,4303,1766,2537
1991,note,49770,49687,83
1974,abstract of published item,12,8,4
2012,book review,70307,47781,22526
2015,biographical-item,4296,1826,2470
2014,letter,44229,12473,31756
1987,discussion,2776,2765,11
2009,correction,11442,4008,7434
2011,correction,12342,3280,9062
1984,correction,551,529,22
1992,review,17738,17699,39
2015,art exhibit review,2341,2276,65
2008,letter,43814,21993,21821
1975,correction,142,128,14
2004,meeting abstract,208284,207814,470
2014,meeting abstract,305970,276911,29059
2005,meeting abstract,221302,220407,895
1998,meeting abstract,110833,110832,1
2000,letter,43277,42818,459
1966,article,34428,34194,234
1968,book review,383,363,20
1973,book review,407,381,26
2009,meeting abstract,258738,242796,15942
1996,meeting abstract,108643,106378,2265
1998,editorial material,57059,56878,181
1990,review,17455,17399,56
1995,correction,361,352,9
1975,book review,486,486,0
1995,editorial material,51594,51487,107
1994,editorial material,41325,41208,117
1991,review,16941,16887,54
1975,editorial material,767,720,47
1976,book review,281,281,0
1998,correction,7283,7267,16
2000,editorial material,55586,55133,453
1969,meeting abstract,4712,4561,151
1985,review,15268,15237,31
1973,meeting abstract,6866,6768,98
1991,correction,460,450,10
1998,news item,29547,29529,18
1987,correction,563,532,31
1978,meeting abstract,514,514,0
2013,"fiction, creative prose",458,426,32
1986,editorial material,31057,30963,94
1983,meeting abstract,113911,113911,0
2005,correction,9920,4989,4931
2013,software review,38,2,36
1974,review,1500,1485,15
1971,discussion,99,91,8
1972,meeting abstract,6304,6182,122
1965,review,590,583,7
1948,article,4675,4520,155
1960,note,190,190,0
1974,editorial material,1103,1061,42
1971,meeting abstract,4900,4772,128
1990,book review,79426,79403,23
2018,meeting abstract,300033,265199,34834
1968,editorial material,895,869,26
1967,biographical-item,181,180,1
2014,art exhibit review,2658,2607,51
2014,film review,1249,1236,13
2018,correction,20791,1862,18929
2017,news item,15030,10171,4859
2017,review,107589,3692,103897
1956,article,3314,3142,172
1946,article,2171,2023,148
2011,news item,19683,14998,4685
1988,discussion,2432,2412,20
2001,biographical-item,5310,5220,90
1982,editorial material,27156,27096,60
1988,editorial material,33075,32983,92
2000,reprint,1011,1005,6
1980,discussion,2075,2048,27
1983,book review,90341,90341,0
1931,article,1436,1288,148
1940,article,1512,1351,161
2003,reprint,763,498,265
2005,reprint,788,578,210
1933,article,1461,1329,132
1949,review,292,284,8
1975,biographical-item,7,7,0
1992,book review,81399,81395,4
1996,book review,89913,89904,9
1982,book review,78304,78304,0
1935,article,1458,1346,112
1988,biographical-item,177,177,0
1993,proceedings paper,138172,138170,2
1996,news item,21576,21576,0
1979,book review,453,453,0
1945,editorial material,259,253,6
1955,meeting abstract,20,20,0
1954,editorial material,886,873,13
1951,note,169,169,0
2015,retraction,96,14,82
2005,news item,25710,23882,1828
2011,retraction,4,0,4
1951,letter,331,331,0
2001,reprint,928,922,6
1979,biographical-item,15,15,0
1955,letter,509,509,0
1977,book review,430,430,0
1996,reprint,906,905,1
1983,correction,622,603,19
1938,review,91,87,4
1926,letter,9,9,0
1933,review,54,54,0
1916,article,389,389,0
1909,review,9,9,0
1914,article,465,465,0
1917,article,1015,1015,0
1905,article,403,403,0
1930,review,53,53,0
1942,review,83,81,2
1945,meeting abstract,81,81,0
1922,review,27,27,0
1915,article,424,422,2
1925,review,26,26,0
1910,review,16,16,0
1932,review,69,67,2
1936,review,59,57,2
1947,discussion,18,18,0
1937,letter,10,10,0
1946,discussion,5,5,0
1902,letter,7,7,0
1935,letter,9,9,0
1900,article,338,338,0
1991,bibliography,507,507,0
1977,poetry,37,37,0
1989,poetry,6247,6247,0
1995,music performance review,1977,1977,0
2004,software review,234,190,44
1990,poetry,5262,5262,0
2013,theater review,328,319,9
1976,music performance review,2,2,0
1965,correction,101,101,0
1976,theater review,6,6,0
1993,music performance review,1811,1811,0
1988,poetry,7210,7210,0
1994,film review,1374,1374,0
1977,theater review,7,7,0
1984,poetry,8227,8227,0
1985,theater review,1232,1232,0
1995,film review,1500,1500,0
2002,hardware review,69,69,0
1996,software review,900,897,3
1984,record review,1435,1435,0
2004,bibliography,509,439,70
1997,poetry,5975,5975,0
1981,film review,1574,1574,0
1994,record review,1943,1943,0
1996,hardware review,80,80,0
1993,music score review,472,472,0
1996,bibliography,718,716,2
2012,retraction,6,1,5
1956,correction,11,11,0
1964,correction,61,61,0
2013,music performance review,928,892,36
2006,database review,45,28,17
2009,record review,1809,1804,5
2011,software review,50,12,38
1941,book review,129,129,0
2003,"fiction, creative prose",1199,1199,0
1920,letter,13,13,0
1907,book review,5,5,0
1936,book review,148,148,0
2002,excerpt,174,174,0
1944,book review,32,32,0
1998,"fiction, creative prose",1217,1217,0
1916,letter,2,2,0
1908,book review,5,5,0
1990,"fiction, creative prose",1473,1473,0
2002,script,46,46,0
1990,music score review,406,406,0
2002,"fiction, creative prose",1107,1107,0
2008,music score,20,20,0
1996,"correction, addition",6651,6651,0
2005,record review,1803,1743,60
1996,excerpt,241,241,0
2005,dance performance review,387,386,1
2005,hardware review,19,19,0
1997,"tv review, radio review, video",500,500,0
2017,"tv review, radio review",318,311,7
2006,bibliography,285,211,74
1985,software review,520,516,4
1999,film review,1338,1338,0
2004,"fiction, creative prose",1032,1025,7
2001,software review,417,415,2
1999,theater review,672,672,0
1985,art exhibit review,2496,2496,0
1984,excerpt,203,203,0
1993,"tv review, radio review",19,19,0
1994,software review,716,711,5
1994,excerpt,340,340,0
1983,"fiction, creative prose",1511,1511,0
1986,dance performance review,583,583,0
2012,"fiction, creative prose",392,376,16
1989,art exhibit review,2931,2931,0
1916,book review,2,2,0
1902,correction,3,3,0
1936,correction,1,1,0
2019,news item,4410,3106,1304
2019,record review,420,400,20
2019,art exhibit review,535,522,13
1905,review,8,8,0
2016,data paper,152,0,152
1948,biographical-item,23,23,0
1998,music performance review,1714,1714,0
1988,art exhibit review,2486,2486,0
1988,bibliography,210,210,0
1980,chronology,67,67,0
1985,excerpt,269,269,0
1992,item about an individual,4903,4903,0
1992,"fiction, creative prose",1269,1269,0
1992,hardware review,115,115,0
1992,theater review,616,616,0
1993,chronology,44,44,0
1994,chronology,55,55,0
1994,database review,34,34,0
2010,music performance review,1197,1194,3
1995,"tv review, radio review, video",410,410,0
1995,music score review,378,378,0
2010,chronology,1,0,1
1998,hardware review,81,81,0
1991,music score,17,17,0
2012,script,14,14,0
2013,music score,7,7,0
2007,record review,1822,1799,23
1986,script,125,125,0
1988,script,112,112,0
2001,database review,83,83,0
2013,abstract of published item,1,0,1
2006,dance performance review,379,378,1
1981,music score review,892,892,0
1981,script,120,120,0
1981,excerpt,178,178,0
1981,"tv review, radio review, video",118,118,0
1999,dance performance review,408,408,0
1983,excerpt,322,322,0
1987,database review,65,65,0
2012,chronology,2,0,2
2019,dance performance review,124,123,1
2019,"tv review, radio review",90,90,0
2019,reprint,36,1,35
2015,article,1518598,146963,1371635
2016,review,101871,5030,96841
2016,correction,18479,2702,15777
1993,note,56326,56252,74
1994,note,67002,66935,67
2012,editorial material,98150,35026,63124
1996,article,748578,746730,1848
2015,meeting abstract,303502,266752,36750
1992,article,603151,601970,1181
2003,review,39014,21063,17951
2006,review,51574,16466,35108
2015,news item,16485,11761,4724
1973,note,8095,7981,114
1982,article,472889,472201,688
1976,article,21332,21092,240
1979,article,27669,27238,431
2004,review,43494,19617,23877
2010,meeting abstract,262193,237734,24459
1993,letter,44127,43737,390
2007,letter,42347,22921,19426
1989,book review,80720,80710,10
1999,proceedings paper,114070,114042,28
1978,letter,837,637,200
2003,meeting abstract,157637,157413,224
1983,editorial material,33551,33461,90
2014,"fiction, creative prose",516,484,32
1967,editorial material,934,912,22
2006,meeting abstract,224598,217053,7545
1974,letter,3216,3008,208
1973,editorial material,1449,1412,37
1987,letter,39153,38875,278
1961,article,7986,7766,220
1976,meeting abstract,462,462,0
1974,meeting abstract,6511,6511,0
1984,book review,92907,92899,8
1999,letter,44867,44569,298
1985,letter,39220,38962,258
1981,review,9563,9538,25
1979,correction,162,147,15
2016,script,14,10,4
1974,correction,204,194,10
1986,discussion,2074,2061,13
1961,review,188,188,0
1967,letter,3610,3588,22
1962,correction,32,32,0
2010,news item,21001,16395,4606
1948,letter,612,612,0
1974,biographical-item,38,38,0
1972,discussion,119,109,10
1987,book review,81641,81628,13
1978,discussion,79,73,6
1993,discussion,2490,2479,11
1965,book review,918,674,244
1965,discussion,60,55,5
1988,proceedings paper,15502,15502,0
2018,proceedings paper,209176,111739,97437
2018,retraction,1088,119,969
1939,article,1626,1462,164
2017,correction,19007,2321,16686
2017,book review,67410,39151,28259
2017,biographical-item,4122,1587,2535
2017,meeting abstract,319330,273443,45887
2017,reprint,241,22,219
2017,letter,45539,10163,35376
1958,article,3407,3214,193
1957,article,3536,3358,178
2002,reprint,862,749,113
1992,reprint,580,580,0
1976,editorial material,617,566,51
1959,letter,304,304,0
1995,discussion,2345,2338,7
2006,reprint,875,642,233
1977,discussion,48,45,3
1996,discussion,432,432,0
1991,biographical-item,169,169,0
1990,biographical-item,210,209,1
2007,news item,26299,23773,2526
2017,hardware review,8,0,8
2010,reprint,445,307,138
2009,reprint,604,351,253
1997,reprint,1015,1015,0
1948,meeting abstract,317,317,0
1948,note,213,212,1
1956,review,274,266,8
1954,review,388,371,17
1958,review,316,311,5
1950,review,394,389,5
1958,letter,410,410,0
1959,book review,13,13,0
2017,software review,34,7,27
1950,discussion,11,11,0
2002,news item,25892,25451,441
1949,letter,395,395,0
1945,letter,238,238,0
1961,book review,8,8,0
1956,note,143,132,11
1989,reprint,5,5,0
2004,news item,23108,21588,1520
1947,editorial material,776,761,15
1937,review,72,68,4
1924,review,26,26,0
1906,article,296,296,0
1911,article,464,464,0
1903,article,278,278,0
1915,review,7,7,0
1920,review,14,14,0
1946,meeting abstract,190,190,0
1904,review,9,9,0
1933,letter,6,6,0
1924,letter,18,18,0
1940,letter,21,21,0
1995,biographical-item,200,198,2
1987,chronology,42,42,0
1995,"tv review, radio review",4,4,0
1994,poetry,6286,6286,0
1991,database review,87,87,0
1975,poetry,8,8,0
1988,music performance review,2169,2169,0
1986,art exhibit review,2287,2287,0
1996,film review,2026,2026,0
1994,art exhibit review,2547,2547,0
1990,theater review,757,757,0
1989,film review,1401,1401,0
2002,software review,375,336,39
1959,correction,50,50,0
1995,news item,1334,1334,0
2010,art exhibit review,2546,2525,21
1986,record review,1802,1802,0
1999,bibliography,719,717,2
2001,bibliography,691,688,3
1992,database review,37,37,0
1996,art exhibit review,2301,2301,0
1981,theater review,1617,1617,0
1900,book review,5,5,0
1939,book review,117,117,0
1905,book review,4,4,0
1908,letter,15,15,0
1934,book review,135,135,0
2014,bibliography,101,65,36
1911,letter,8,8,0
1906,book review,3,3,0
2001,poetry,6036,6036,0
1954,book review,226,226,0
1999,"fiction, creative prose",1194,1194,0
1914,book review,9,9,0
1909,book review,4,4,0
1903,book review,3,3,0
1923,letter,6,6,0
1929,letter,8,8,0
2002,record review,2170,2170,0
2002,art exhibit review,2993,2993,0
2014,record review,1693,1662,31
1990,hardware review,197,197,0
2008,script,40,38,2
2014,dance performance review,409,409,0
1990,chronology,45,45,0
2014,script,8,6,2
2005,"tv review, radio review",362,361,1
1997,"correction, addition",5986,5986,0
1997,theater review,691,691,0
1997,"tv review, radio review",159,159,0
1997,music score,17,17,0
1997,excerpt,167,167,0
2011,music score,19,19,0
2005,meeting summary,3,3,0
2009,poetry,6129,6011,118
2013,dance performance review,481,481,0
2017,music performance review,1028,999,29
2017,dance performance review,508,506,2
2017,theater review,354,323,31
2010,"fiction, creative prose",630,600,30
2017,excerpt,2,2,0
2007,software review,173,123,50
1980,biographical-item,26,23,3
2007,dance performance review,446,446,0
2000,art exhibit review,3236,3236,0
2000,film review,1764,1764,0
2000,record review,2308,2308,0
1998,bibliography,649,648,1
2004,script,40,40,0
1989,bibliography,497,497,0
1986,database review,52,52,0
1978,theater review,1,1,0
2006,film review,2203,2200,3
1954,biographical-item,27,27,0
1900,letter,21,21,0
2017,book,349,229,120
2009,book,231,124,107
2007,book,85,38,47
2009,music performance review,1255,1253,2
2013,data paper,20,0,20
1981,art exhibit review,2584,2584,0
1977,chronology,4,4,0
1919,book review,1,1,0
1991,excerpt,219,219,0
1991,"tv review, radio review, video",186,186,0
1991,hardware review,140,140,0
2003,art exhibit review,2386,2386,0
2009,music score review,114,113,1
2009,music score,18,18,0
1993,excerpt,203,203,0
1993,music score,26,26,0
2004,art exhibit review,1838,1835,3
2004,music performance review,972,972,0
2004,excerpt,162,159,3
2004,database review,31,29,2
2010,theater review,362,352,10
1995,hardware review,136,136,0
2007,excerpt,121,117,4
2011,main cite,1,1,0
2013,script,6,5,1
2016,excerpt,2,1,1
2000,music performance review,1617,1617,0
2007,music performance review,1018,1014,4
2000,music score,25,25,0
1988,item about an individual,3672,3672,0
1988,theater review,1018,1018,0
1989,music score,18,18,0
2014,excerpt,1,1,0
1981,item about an individual,1504,1504,0
1982,"tv review, radio review, video",146,146,0
1999,record review,2557,2557,0
1983,"tv review, radio review, video",160,160,0
1984,music score review,966,966,0
1987,theater review,976,976,0
1987,proceedings paper,1863,1863,0
1899,article,26,26,0
1899,book review,11,11,0
