PUBYEAR,ARTICLE_TYPE,TOTAL_NUMBER_OF_ITEMS,NUMBER_OF_NULLS,NUMBER_OF_DOIS
2008,article,1098030,269599,828431
2015,proceedings paper,364763,231582,133181
2012,article,1328731,178822,1149909
2013,book review,69730,43835,25895
2010,review,63824,10587,53237
2015,book review,70842,40659,30183
1989,review,15922,15846,76
1984,article,511567,510878,689
2016,theater review,431,362,69
2007,article,1025785,274382,751403
2011,biographical-item,4676,2349,2327
2012,review,75302,8499,66803
2010,book review,75662,60746,14916
1974,note,7224,7114,110
2005,proceedings paper,182733,167649,15084
2016,film review,1590,1570,20
1988,article,546816,545675,1141
1975,review,1367,1350,17
1980,note,48419,48241,178
1996,proceedings paper,137845,137816,29
1977,article,22070,21798,272
2005,book review,70798,63858,6940
1988,meeting abstract,102795,102794,1
1997,proceedings paper,141860,141833,27
2007,correction,10636,4594,6042
2003,correction,7779,4435,3344
2012,letter,42916,12941,29975
1970,book review,841,810,31
2000,book review,80865,80858,7
2010,letter,43996,16198,27798
1967,article,37003,36778,225
1972,editorial material,1058,1021,37
2008,correction,10775,4215,6560
2015,script,37,36,1
2015,bibliography,98,61,37
2016,music score review,64,63,1
2008,meeting abstract,239009,225462,13547
1995,review,22654,22608,46
1994,correction,314,298,16
2010,biographical-item,6038,3469,2569
2007,biographical-item,7087,5061,2026
1977,correction,198,187,11
1973,abstract of published item,355,355,0
2000,news item,28564,28522,42
1988,correction,527,510,17
1978,review,1538,1509,29
1961,letter,594,594,0
1969,letter,4100,4047,53
1970,correction,265,262,3
1966,letter,3244,3234,10
1965,abstract of published item,324,324,0
1971,review,1024,1018,6
1962,note,416,408,8
1965,editorial material,1451,1419,32
1988,book review,81610,81603,7
1961,editorial material,766,738,28
2004,book review,67521,63391,4130
1987,editorial material,32186,32098,88
1994,discussion,2876,2869,7
1972,biographical-item,31,30,1
1970,biographical-item,24,24,0
1969,biographical-item,24,24,0
1966,correction,229,228,1
2018,book review,57667,32254,25413
2017,editorial material,120267,32443,87824
1950,article,4736,4520,216
2018,poetry,4426,4179,247
1951,article,4846,4645,201
2018,record review,1453,1418,35
2018,"tv review, radio review",282,277,5
1964,book review,94,94,0
1982,biographical-item,60,59,1
1995,reprint,747,747,0
1955,article,3688,3505,183
1976,discussion,42,36,6
1978,book review,280,280,0
1964,abstract of published item,6,6,0
1951,review,355,336,19
1947,note,429,429,0
1950,editorial material,757,742,15
1956,letter,481,481,0
1955,note,258,225,33
1958,discussion,21,19,2
1948,review,225,223,2
1994,reprint,556,556,0
2003,biographical-item,5537,4625,912
1949,discussion,26,26,0
1996,biographical-item,392,390,2
1994,book review,89948,89932,16
2011,reprint,277,188,89
2017,retraction,865,173,692
2012,reprint,213,122,91
1937,article,1545,1396,149
2019,biographical-item,1014,363,651
1944,review,75,74,1
1953,biographical-item,42,42,0
1978,biographical-item,9,9,0
1950,biographical-item,31,31,0
1924,article,791,791,0
1925,article,1013,1013,0
1908,article,378,378,0
1942,letter,55,55,0
1902,review,4,4,0
1918,letter,18,18,0
2016,book,1504,789,715
1945,correction,12,11,1
2019,retraction,363,22,341
1976,poetry,155,155,0
1982,theater review,1774,1774,0
1990,record review,1314,1314,0
1946,correction,8,7,1
1992,film review,1537,1537,0
1985,dance performance review,822,822,0
1995,poetry,5993,5993,0
1992,record review,1581,1581,0
1979,art exhibit review,3,3,0
1995,theater review,570,570,0
2011,theater review,364,356,8
1991,film review,1583,1583,0
1996,database review,79,79,0
1993,database review,47,47,0
1985,record review,2254,2254,0
1957,correction,13,12,1
1987,record review,1180,1180,0
1940,book review,134,134,0
1983,film review,1493,1493,0
2009,film review,1799,1788,11
2008,database review,29,9,20
2007,hardware review,7,6,1
1949,book review,153,153,0
1945,book review,2,2,0
1906,letter,21,21,0
1953,book review,334,334,0
1933,book review,305,305,0
1918,book review,7,7,0
1937,book review,267,267,0
1902,book review,7,7,0
1911,book review,9,9,0
1924,book review,7,7,0
1914,letter,7,7,0
2004,poetry,4817,4810,7
1990,dance performance review,610,610,0
2008,music performance review,1295,1294,1
2008,theater review,530,511,19
2014,music score,13,13,0
2008,hardware review,12,10,2
2005,excerpt,264,236,28
2005,music score review,442,422,20
2011,film review,1342,1336,6
2011,excerpt,19,18,1
2011,bibliography,141,94,47
2015,dance performance review,524,524,0
2017,music score review,35,27,8
1986,software review,597,588,9
2006,record review,1790,1705,85
2000,theater review,690,690,0
1999,software review,747,746,1
2000,software review,641,638,3
2004,theater review,620,619,1
2004,record review,1041,1039,2
2018,music score,1,1,0
1986,"fiction, creative prose",1594,1594,0
1989,software review,999,999,0
1992,bibliography,466,466,0
1989,excerpt,260,260,0
2009,"fiction, creative prose",852,828,24
1993,software review,633,633,0
1992,chronology,55,55,0
1901,review,2,2,0
1984,chronology,62,62,0
2001,"fiction, creative prose",1331,1331,0
1925,book review,11,11,0
2019,bibliography,24,11,13
1989,news item,22,11,11
1998,art exhibit review,3073,3073,0
1903,review,6,6,0
2016,meeting summary,11,10,1
1980,item about an individual,1136,1136,0
1995,item about an individual,5683,5683,0
2015,book,809,428,381
2014,book,594,321,273
2010,dance performance review,462,462,0
1998,script,65,65,0
2001,theater review,627,627,0
1943,correction,1,1,0
2003,record review,1410,1410,0
1993,film review,1214,1214,0
2003,abstract of published item,1,0,1
2004,music score,12,12,0
1995,chronology,40,40,0
2011,database review,17,15,2
2006,"fiction, creative prose",686,677,9
1996,chronology,1,1,0
1985,item about an individual,3751,3751,0
1985,hardware review,204,204,0
1986,music score,25,25,0
2001,art exhibit review,3451,3451,0
1988,music score,22,22,0
2001,dance performance review,672,672,0
1989,"tv review, radio review, video",134,134,0
1989,database review,60,60,0
1989,script,77,77,0
1998,film review,1279,1279,0
2006,script,51,50,1
1998,database review,81,81,0
2006,music score,20,20,0
1981,music score,69,69,0
1983,music score,10,10,0
1987,music score review,702,702,0
1987,"tv review, radio review, video",191,191,0
2019,theater review,116,98,18
2019,script,1,1,0
2015,review,86020,5008,81012
2015,editorial material,112604,36402,76202
2014,proceedings paper,349208,221523,127685
2003,editorial material,60265,43677,16588
2016,news item,16341,11237,5104
1990,article,579233,578200,1033
1983,article,496884,496325,559
